Id,Label,timeset,function,gene,is_essential,t0,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,t30,t31,t32,t33,t34,t35,metabolic_reactions,node_type,degree,go,weighted degree,eigencentrality,clustering,triangles
2688,2688,,ORF-V,YKL107W,0,0.482406,1.996532,1.906924,3.704162,4.971942,4.908497,5.304442,4.491118,0.364407,0.334081,0.349315,0.283249,0.47302,1.970455,2.183973,3.541096,4.562988,3.934694,4.266936,1.796976,0.413714,0.676622,0.341202,0.304866,0.608059,1.737278,2.593891,3.554767,4.163223,4.304622,4.783754,1.069221,0.608791,0.557087,0.275025,0.297718,,protein,87,FALSE,154,0.282325,0.818498,3062
4135,4135,,ORF-V,YJL174W,1,7.108967,8.053179,6.213394,7.458942,9.171718,8.034858,7.742145,7.184953,11.825666,7.279148,4.578767,6.740102,8.004593,8.420455,2.792325,5.942922,5.167224,6.404081,7.12639,13.452483,5.450285,8.169928,7.84764,7.532274,4.915751,6.395266,7.674209,5.788033,5.871901,6.402311,5.937432,18.692211,9.571429,7.682086,6.646107,6.784232,,protein,0,FALSE,0,0,0,0
2342,2342,,ORF-V,YGL243W,0,0.547106,0.753757,0.323496,0.758155,1.025814,0.874728,0.934995,1.083595,1.450363,0.86435,0.611872,0.860914,0.506315,0.906818,0.61851,0.660959,0.513935,0.887755,0.935288,0.928726,0.755429,0.702369,0.64485,0.288977,0.550671,0.52426,0.864253,0.796146,1.15186,1.103992,0.812294,1.703337,0.631868,0.920276,0.901921,0.86722,,protein,1,FALSE,1.549529,0.000081,0,0
250,250,,ORF-V,YJR064W,1,5.992055,7.360694,6.870602,8.496063,9.635241,7.523965,6.847237,9.646813,13.073851,8.115472,7.148402,7.963452,6.954076,8.094318,7.36456,4.38242,5.742475,7.104082,6.724974,10.593952,6.657143,7.397528,6.247854,7.441907,5.822955,6.388166,8.484163,6.422921,7.822314,7.960084,6.677278,13.965389,8.958242,6.847441,6.015167,6.236514,,protein,0,FALSE,0,0,0,0
2635,2635,,ORF-V,YBR114W,0,0.211124,0.306358,0.297389,0.316086,0.38945,0.363834,0.227519,0.402299,0.766344,0.254484,0.143836,0.187817,0.249139,0.346591,0.291196,0.257991,0.272018,0.328571,0.377149,1.136069,0.417143,0.220391,0.198498,0.190665,0.279609,0.217751,0.285068,0.361055,0.340909,0.363445,0.39517,3.018541,0.30989,0.161417,0.214358,0.216805,,protein,0,FALSE,0,0,0,0
3236,3236,,ORF-V,YLR024C,0,1.191828,0.698266,1.153235,1.172103,1.375982,1.454248,1.872156,2.274817,0.826877,1.275785,1.302512,1.135025,1.694604,0.646591,1.196388,1.320776,1.274247,1.287755,1.821031,2.041037,0.953143,1.737384,1.410944,1.754717,1.492063,0.734911,0.968326,0.829615,1.116736,1.297269,1.548848,1.39555,1.513187,1.309055,1.239636,1.33195,,protein,0,FALSE,0,0,0,0
4614,4614,,ORF-V,YDR195W,0,1.692395,2.649711,2.402951,2.255343,2.882155,2.431372,2.442037,2.207942,4.55448,1.949552,1.615297,2.099492,1.748565,2.646591,2.562077,2.872146,2.306577,2.546939,2.091001,1.420086,2.827429,1.943357,2.071888,2.701093,1.238095,2.376331,2.495475,2.261663,2.603306,2.539916,2.668496,2.477132,2.324176,1.61122,1.785642,2.084025,,protein,7,FALSE,25.636038,0.00063,0.142857,3
291,291,,ORF-V,YKL007W,0,5.148695,4.793064,5.438138,5.517436,6.62963,5.733115,5.923077,5.786834,1.27845,6.42713,6.101598,5.286295,5.746269,4.620455,5.044018,4.635845,4.869565,4.934694,5.388271,5.275378,3.945143,5.635427,4.498927,5.122145,6.620269,4.72071,5.402715,4.306288,5.078512,5.315126,4.924259,4.069221,5.240659,4.163386,4.053589,4.426348,,protein,0,FALSE,0,0,0,0
3321,3321,,ORF-V,YKL203C,1,2.780931,2.241618,3.339387,3.125984,3.3367,2.284314,3.007584,2.682341,2.254237,2.108745,2.872146,2.725888,2.765787,2.905682,2.832957,2.920091,4.191751,3.134694,2.650152,2.62743,2.798857,2.376931,2.654506,2.568024,3.35287,3.789349,3.397059,2.941177,3.342975,3.313025,3.3809,2.339926,2.459341,2.513779,2.95551,2.977178,,protein,1,FALSE,3.978805,0.000107,0,0
4088,4088,,ORF-V,YDR388W,0,11.511918,13.030057,13.755959,13.935883,14.938272,13.407408,13.73456,10.319749,5.783293,10.755607,10.938356,7.505583,12.862228,12.653409,13.514672,15.311645,13.014493,10.280612,9.508594,7.967602,10.968,9.650875,10.031116,8.917577,12.388278,15.814202,15.368778,10.979716,11.045454,10.266808,12.477497,10.02843,11.993407,8.115157,7.248736,8.419086,,protein,0,FALSE,0,0,0,0
